Core ID,yircr12s,yircr13s,yircr16s,yircr18s,yircr19s,yirbh34s,yirbh35s,yirbh37s,yirbh38s,yirbh39s,yirww48s,yirww49s,yirww51s,yirww54s,yirww56s,yirbs65s,yirbs67s,yirbs69s,yirbs74s,yores01s,yores02s,yores03s,yores44s,yores46s,yorar05s,yorar06s,yorar09s,yorar10s,yorcf21s,yorcf26s,yorcf27s,yorcf28s,yorcf30s,yorfr58s,yorfr59s,yorfr61s,yorfr62s,yorfr63s,yircr14p,yircr15p,yircr17p,yircr20p,yirbh36p,yirbh40p,yirbh41p,yirbh42p,yirbh43p,yirww47p,yirww50p,yirww52p,yirww53p,yirww55p,yirbs66p,yirbs70p,yirbs71p,yirbs72p,yirbs73p,yorar04p,yorar07p,yorar08p,yorcf23p,yorcf31p,yorcf32p,yorcf33p,yorfr57p,yorfr60p,yorfr64p
2014,0.3616,0.3012,0.2786,0.351,0.4308,0.2595,0.6253,0.2794,0.2451,0.3256,0.2554,0.4194,0.1905,0.1901,0.3491,0.3083,0.3116,0.2954,0.5466,0.2521,0.3381,0.2748,0.4583,0.5422,0.3606,0.4525,0.3998,0.2929,0.2365,0.3887,0.4174,0.4855,0.4308,0.2542,0.2224,0.2875,0.2475,0.2455,0.5252,0.6449,0.3953,0.4122,0.4666,0.2995,0.6408,0.4492,0.658,0.4202,0.7124,0.3652,0.2743,0.2404,0.3887,0.5082,0.3995,0.2761,0.3076,0.5116,0.7372,0.5283,0.5402,0.5287,0.5087,0.3643,0.483,0.57,0.483
2013,0.4594,0.2863,0.2212,0.3988,0.5834,0.2088,0.6023,0.1956,0.3118,0.3729,0.2815,0.4844,0.2779,0.1708,0.3651,0.2905,0.3206,0.1649,0.4244,0.3932,0.2754,0.2808,0.3804,0.3995,0.4148,0.5087,0.2214,0.215,0.2303,0.4024,0.474,0.4883,0.5427,0.3317,0.1901,0.2756,0.3982,0.3581,0.5639,0.6807,0.3304,0.7954,0.6916,0.3829,0.3491,0.4074,0.4245,0.5202,0.5979,0.38,0.257,0.2587,0.3501,0.5725,0.3802,0.4274,0.4068,0.5359,0.7572,0.492,0.4806,0.4514,0.4698,0.3614,0.4857,0.5467,0.3665
2012,0.3704,0.2475,0.3016,0.3286,0.5035,0.2909,0.6655,0.2878,0.3118,0.364,0.3414,0.4318,0.484,0.3527,0.3518,0.2579,0.3479,0.3007,0.4458,0.2362,0.3763,0.2632,0.3833,0.3939,0.2042,0.5025,0.238,0.2742,0.1566,0.3117,0.4078,0.3987,0.5875,0.3379,0.4257,0.2756,0.4117,0.3581,0.5968,0.6578,0.3213,0.7697,0.4438,0.4847,0.3986,0.4427,0.7428,0.4452,0.5643,0.2886,0.2426,0.2465,0.4112,0.5468,0.3582,0.4932,0.2129,0.4688,0.7972,0.4822,0.5667,0.4515,0.458,0.3098,0.3885,0.4018,0.4931
2011,0.3822,0.3876,0.4194,0.3542,0.4841,0.3635,0.5241,0.4357,0.1921,0.3196,0.3466,0.3971,0.3684,0.485,0.3678,0.2549,0.3511,0.2502,0.574,0.2788,0.3708,0.272,0.3487,0.3856,0.2553,0.5524,0.2499,0.2306,0.3531,0.4122,0.4359,0.4453,0.5287,0.3069,0.2782,0.3635,0.3794,0.5344,0.4356,0.5504,0.3676,0.6573,0.4698,0.3767,0.3725,0.4492,0.3668,0.4002,0.5587,0.4521,0.3119,0.2982,0.4176,0.5307,0.3362,0.5523,0.3046,0.3868,0.777,0.5182,0.5303,0.4634,0.401,0.3471,0.3702,0.4875,0.5063
2010,0.2697,0.2117,0.4108,0.3254,0.3534,0.3513,0.5364,0.4277,0.1921,0.3078,0.2502,0.391,0.3872,0.5815,0.3624,0.2905,0.3297,0.2611,0.3939,0.3055,0.2727,0.2984,0.3775,0.3604,0.1947,0.4432,0.1547,0.2898,0.2672,0.3218,0.3701,0.3991,0.4084,0.3565,0.2598,0.2922,0.3955,0.5894,0.3909,0.6968,0.3892,0.5538,0.4176,0.2624,0.3777,0.3818,0.4035,0.3851,0.6565,0.471,0.3147,0.2374,0.4722,0.3988,0.2397,0.3123,0.4642,0.5117,0.727,0.468,0.5336,0.3832,0.4639,0.3356,0.4076,0.662,0.4598
2009,0.3169,0.2982,0.3877,0.3031,0.6124,0.3089,0.4478,0.302,0.2756,0.3463,0.2893,0.3398,0.3653,0.4381,0.3331,0.2312,0.3206,0.2766,0.3939,0.2708,0.3681,0.2428,0.3804,0.3576,0.3989,0.5066,0.1856,0.2274,0.3194,0.3588,0.3762,0.4132,0.5763,0.3162,0.2033,0.3183,0.4063,0.5947,0.6236,0.8437,0.4541,0.8646,0.4437,0.2131,0.6356,0.5037,0.5304,0.3576,0.6565,0.4189,0.2481,0.1886,0.4111,0.5789,0.3665,0.4274,0.3936,0.4993,0.8604,0.5909,0.4806,0.4782,0.3891,0.3413,0.5264,0.456,0.4629
2008,0.314,0.325,0.3475,0.3414,0.5155,0.2209,0.5395,0.5503,0.2339,0.3137,0.2841,0.3583,0.3934,0.5126,0.3705,0.2757,0.3358,0.3481,0.3612,0.2656,0.278,0.2749,0.3199,0.4107,0.2521,0.432,0.1904,0.511,0.3439,0.3957,0.3951,0.4566,0.4252,0.3131,0.2356,0.3516,0.409,0.3841,0.7042,0.482,0.4016,0.7495,0.5121,0.2038,0.7242,0.4235,0.4032,0.2726,0.5783,0.4099,0.2167,0.2647,0.4882,0.4792,0.383,0.4076,0.3722,0.6119,0.8938,0.482,0.5369,0.4545,0.371,0.3298,0.3823,0.4673,0.4165
2007,0.3063,0.3906,0.2355,0.3892,0.38,0.1452,0.3412,0.355,0.2673,0.364,0.2215,0.3408,0.3466,0.4106,0.3252,0.2816,0.3388,0.2501,0.4249,0.3954,0.5317,0.2779,0.1824,0.4778,0.1787,0.4537,0.2357,0.4144,0.2948,0.4324,0.3664,0.3323,0.5867,0.248,0.3079,0.3041,0.323,0.4447,0.5073,0.7784,0.4139,0.6688,0.4764,0.2131,0.6017,0.4171,0.3212,0.3676,0.3856,0.3947,0.2479,0.2282,0.4625,0.5436,0.2838,0.3879,0.5121,0.5543,0.8704,0.4058,0.4905,0.5198,0.3561,0.3327,0.4889,0.4559,0.4198
2006,0.3063,0.2714,0.1981,0.2999,0.5446,0.2422,0.4632,0.2937,0.2729,0.3611,0.2319,0.2426,0.2436,0.474,0.2532,0.3735,0.3086,0.2767,0.4735,0.301,0.2645,0.2778,0.2142,0.3883,0.2713,0.4693,0.4094,0.4705,0.2887,0.3519,0.3764,0.397,0.5271,0.4837,0.2364,0.297,0.3704,0.4847,0.4565,0.5243,0.275,0.8938,0.4796,0.2285,0.534,0.308,0.5306,0.4602,0.5225,0.4368,0.2079,0.2161,0.3469,0.4696,0.4299,0.6049,0.5175,0.3746,0.7337,0.5348,0.5072,0.5703,0.3651,0.4073,0.533,0.5638,0.5109
2005,0.3646,0.2594,0.224,0.3063,0.46,0.2669,0.4173,0.3241,0.2645,0.3137,0.3205,0.3408,0.1998,0.4133,0.2078,0.2727,0.4689,0.4257,0.4036,0.2924,0.2644,0.2836,0.2085,0.3967,0.1947,0.4321,0.2499,0.4144,0.2887,0.3754,0.4582,0.2475,0.6089,0.307,0.2741,0.3421,0.318,0.5048,0.4088,0.5147,0.3615,0.6111,0.7341,0.2655,0.6252,0.4203,0.4458,0.3476,0.447,0.4671,0.234,0.2282,0.3501,0.4583,0.405,0.5886,0.3557,0.4936,0.7873,0.4889,0.5137,0.502,0.3891,0.3757,0.4961,0.5481,0.4843
